k,silhouette
2,0.07383792865162934
3,0.0841792914923135
4,0.0888477573147259
5,0.10020179290473422
6,0.10642857197478142
7,0.08238442858458835
8,0.06380223169301776
9,0.06999552767848381
10,0.07044457253786603
