merge_distance,distance_jump
0.21312596587405774,
0.35761973408411046,0.14449376821005272
0.363883576421344,0.006263842337233538
0.3750448994075011,0.011161322986157074
0.3869827345381077,0.011937835130606644
0.41313340021334843,0.026150665675240714
0.4213108352710385,0.008177435057690086
0.45934606656142646,0.03803523129038794
0.4642996014494897,0.004953534888063216
0.4740158681736427,0.009716266724153044
0.4809722751409394,0.006956406967296658
0.48342435856666405,0.0024520834257246715
0.4855083171944444,0.00208395862778038
0.5062244861026378,0.02071616890819339
0.5195035455384719,0.013279059435834073
0.5238933163337828,0.004389770795310888
0.525692210863802,0.001798894530019246
0.5316491913111406,0.005956980447338611
0.5336585714998366,0.0020093801886960083
0.5445948939283797,0.010936322428543033
0.5492433808710597,0.004648486942680052
0.5521339582172987,0.002890577346238987
0.5529693055583377,0.0008353473410389611
0.5795490448005827,0.026579739242244993
0.5893731971454739,0.009824152344891202
0.5972913892333432,0.007918192087869369
0.6000236317600626,0.0027322425267193307
0.6066204593916111,0.006596827631548563
0.6131974503781217,0.006576990986510545
0.6219525180086003,0.008755067630478619
0.6226634185903165,0.0007109005817161895
0.6312678674993971,0.008604448909080631
0.6386454487274097,0.007377581228012575
0.6419382827638079,0.00329283403639824
0.6448657049814566,0.002927422217648634
0.6479204824498981,0.0030547774684415163
0.6486405756112422,0.0007200931613441375
0.6486446545262832,4.0789150409503705e-06
0.6547370471934351,0.006092392667151891
0.656045471843686,0.001308424650250939
0.6631972828532605,0.007151811009574516
0.6709866772533388,0.007789394400078309
0.6722039677002889,0.00121729044695007
0.6730588868463496,0.0008549191460607286
0.6736985220281724,0.0006396351818227508
0.674381179074528,0.000682657046355617
0.6776006383651212,0.0032194592905931962
0.6990481287537792,0.021447490388658008
0.7033662760457913,0.004318147292012076
0.7145863924338833,0.01122011638809206
0.7183356847190976,0.0037492922852142563
0.7218784303848538,0.003542745665756186
0.7244866567872156,0.002608226402361802
0.728783278427373,0.0042966216401574275
0.7310701094368384,0.002286831009465362
0.7348186888949917,0.0037485794581533227
0.7379446594550542,0.0031259705600624743
0.7424294443155888,0.0044847848605346075
0.7466676847033967,0.004238240387807957
0.7473278254175398,0.0006601407141431093
0.7520163916697336,0.0046885662521937155
0.764088681919107,0.012072290249373396
0.764501372309919,0.00041269039081204273
0.7697535055923493,0.005252133282430349
0.7730229253253323,0.0032694197329830033
0.7784305886316423,0.005407663306309929
0.778937036873408,0.0005064482417657112
0.7793474444172765,0.0004104075438685628
0.7796256857716053,0.0002782413543287454
0.7797928246088758,0.00016713883727048628
0.7816390444682615,0.0018462198593857115
0.7857034656945804,0.004064421226318893
0.7867181005764049,0.0010146348818245166
0.787283895947695,0.0005657953712900898
0.7878271541467201,0.0005432581990251206
0.792722658979407,0.004895504832686859
0.7927487910626497,2.6132083242758064e-05
0.7932516547766989,0.0005028637140491732
0.800720489533803,0.007468834757104137
0.8044667372647862,0.0037462477309831987
0.804548168505025,8.143124023873849e-05
0.8064171602636528,0.0018689917586278693
0.8151335447492336,0.008716384485580764
0.8164923114774261,0.001358766728192462
0.8215983980012765,0.005106086523850473
0.8247047223126899,0.003106324311413333
0.8341178419056788,0.009413119592988961
0.8416958683021531,0.007578026396474313
0.8418333638825656,0.00013749558041242782
0.8424624606487107,0.0006290967661450875
0.8486276625167302,0.006165201868019499
0.848727671026966,0.00010000851023583834
0.8567170301931873,0.007989359166221344
0.8570621183173107,0.00034508812412337164
0.8632485326160714,0.006186414298760656
0.8689490276749895,0.00570049505891812
0.8709423776236868,0.001993349948697265
0.8709846109815614,4.223335787467697e-05
0.8726276175070669,0.0016430065255054194
0.8840981827046643,0.011470565197597482
0.8912526811888927,0.007154498484228333
0.8916135221167922,0.0003608409278995639
0.892409795868676,0.000796273751883736
0.8930768986820304,0.0006671028133544699
0.9048181200815804,0.011741221399549917
0.9055784666208894,0.0007603465393090092
0.9071855202618242,0.0016070536409348302
0.9073266348320175,0.00014111457019327922
0.9075109598168661,0.00018432498484866056
0.9134448230166866,0.005933863199820477
0.9161408292828453,0.0026960062661587347
0.916410303016251,0.0002694737334056896
0.9168600742780086,0.0004497712617576033
0.9182036791430488,0.0013436048650401489
0.9189577759164091,0.0007540967733603576
0.919334052314947,0.0003762763985378781
0.9213195473086406,0.001985494993693604
0.9218165409730765,0.0004969936644358963
0.9251441001634325,0.0033275591903559887
0.9274281106434547,0.002284010480022136
0.927541440838001,0.00011333019454640159
0.9316220403172436,0.004080599479242553
0.9376146924665131,0.005992652149269473
0.938179141002931,0.0005644485364179053
0.9397046614998512,0.0015255204969202296
0.9403318988885032,0.0006272373886520022
0.9407569291649445,0.0004250302764412517
0.9426898231376397,0.0019328939726952488
0.9451387282732492,0.0024489051356094693
0.9475699119534545,0.00243118368020534
0.9530538468585595,0.005483934905105015
0.9534094532296287,0.0003556063710691282
0.9551349011724495,0.0017254479428208125
0.9571119468536171,0.001977045681167633
0.9631720455324937,0.00606009867887658
0.9646396867326443,0.0014676412001506378
0.9679355410747138,0.003295854342069471
0.977298988231845,0.009363447157131222
0.9789019817340064,0.0016029935021614206
