cluster,n_samples,percentage,top_features,mean_General_Health,delta_General_Health,mean_Alcohol_Consumption,delta_Alcohol_Consumption,mean_Checkup,delta_Checkup,mean_BMI,delta_BMI,mean_Height_(cm),delta_Height_(cm),mean_Green_Vegetables_Consumption,delta_Green_Vegetables_Consumption,mean_Age_Category,delta_Age_Category,mean_Fruit_Consumption,delta_Fruit_Consumption,mean_FriedPotato_Consumption,delta_FriedPotato_Consumption,mean_Smoking_History,delta_Smoking_History
0,1241,49.64,"General_Health, Alcohol_Consumption, Checkup, BMI, Height_(cm)",2.910556003223207,0.37255600322320737,-0.31207004764726803,-0.2963664064020065,3.877518130539887,0.24991813053988698,-0.15252141369046604,-0.17890430464339274,0.13559629491292133,0.14318201100064792,,,,,,,,,,
1,612,24.48,"General_Health, BMI, Height_(cm), Alcohol_Consumption, Green_Vegetables_Consumption",1.5294117647058822,-1.0085882352941176,-0.4304244374235137,-0.4147207961782522,,,0.6275640001775014,0.6011811092245747,-0.4932821497148488,-0.48569643362712217,-0.35037160036318443,-0.38180351337647905,,,,,,,,
2,265,10.6,"Checkup, Height_(cm), Age_Category, Green_Vegetables_Consumption, BMI",,,,,1.7018867924528303,-1.92571320754717,-0.20954819843386066,-0.23593108938678736,0.40184472164792756,0.4094304377356542,-0.22380954426227773,-0.25524145727557235,0.7547169811320755,-0.37768301886792455,,,,,,
3,287,11.48,"Alcohol_Consumption, Age_Category, General_Health, BMI, Checkup",2.8536585365853657,0.3156585365853659,2.1426434855468983,2.15834712679216,3.7874564459930316,0.1598564459930314,-0.2170637439051725,-0.2434466348580992,,,,,1.4773519163763067,0.3449519163763066,,,,,,
4,76,3.04,"Green_Vegetables_Consumption, Fruit_Consumption, General_Health, FriedPotato_Consumption, Age_Category",2.8815789473684212,0.34357894736842143,,,,,,,,,3.96653484345908,3.9351029304457854,0.9605263157894737,-0.1718736842105264,0.9264616893947827,0.9137746248453372,-0.23691857437430153,-0.25148049823006774,,
5,19,0.76,"FriedPotato_Consumption, Green_Vegetables_Consumption, General_Health, Alcohol_Consumption, Smoking_History",2.1052631578947367,-0.4327368421052631,-0.34552373988250384,-0.3298200986372424,,,,,,,1.0222270868834418,0.9907951738701472,,,,,9.010311185173084,8.995749261317318,0.15789473684210525,-0.23610526315789476
