threshold,accuracy,precision,recall,f1,f2
0.39999999999999986,0.6533804475853946,0.3518095238095238,0.8702002355712604,0.5010512037978976,0.6721251819505094
0.40999999999999986,0.6533804475853946,0.3518095238095238,0.8702002355712604,0.5010512037978976,0.6721251819505094
0.3699999999999999,0.6521083627797408,0.35096382109961066,0.8706713780918728,0.5002707092582567,0.6717313074770092
0.3799999999999999,0.6521083627797408,0.35096382109961066,0.8706713780918728,0.5002707092582567,0.6717313074770092
0.38999999999999985,0.6521083627797408,0.35096382109961066,0.8706713780918728,0.5002707092582567,0.6717313074770092
0.4199999999999998,0.6571967020023557,0.354012137559002,0.8657243816254417,0.502529741556133,0.6715763312744417
0.3299999999999999,0.6499411071849235,0.34946592305510915,0.870906949352179,0.4987857528332434,0.6707427700569687
0.33999999999999986,0.6499411071849235,0.34946592305510915,0.870906949352179,0.4987857528332434,0.6707427700569687
0.34999999999999987,0.6499411071849235,0.34946592305510915,0.870906949352179,0.4987857528332434,0.6707427700569687
0.3599999999999999,0.6499411071849235,0.34946592305510915,0.870906949352179,0.4987857528332434,0.6707427700569687
0.3199999999999999,0.6285041224970553,0.33694678373051423,0.8859835100117786,0.4882196404231843,0.668218321370194
0.4299999999999998,0.6760895170789164,0.36543184609087187,0.8412249705535925,0.5095241492473425,0.6674267344497608
0.29999999999999993,0.6234157832744405,0.33410056657223797,0.8890459363957597,0.4856830319799241,0.667350403168765
0.3099999999999999,0.6233686690223793,0.334041611332448,0.8888103651354535,0.48558558558558557,0.6671971706454465
0.2599999999999999,0.5806831566548881,0.3128868880135059,0.9168433451118964,0.46655478302565334,0.6614772765899589
0.2699999999999999,0.5806831566548881,0.3128868880135059,0.9168433451118964,0.46655478302565334,0.6614772765899589
0.2799999999999999,0.5806831566548881,0.3128868880135059,0.9168433451118964,0.46655478302565334,0.6614772765899589
0.2899999999999999,0.5806831566548881,0.3128868880135059,0.9168433451118964,0.46655478302565334,0.6614772765899589
0.24999999999999994,0.5755005889281508,0.310295405685166,0.9180212014134276,0.4638181385384432,0.6596364128778902
0.43999999999999984,0.7060070671378091,0.3864024598565084,0.7992932862190812,0.5209580838323353,0.6585536275765692
0.44999999999999984,0.7060070671378091,0.3864024598565084,0.7992932862190812,0.5209580838323353,0.6585536275765692
0.45999999999999985,0.7060070671378091,0.3864024598565084,0.7992932862190812,0.5209580838323353,0.6585536275765692
0.4699999999999998,0.7156183745583039,0.39456022606852703,0.789399293286219,0.5261422515308526,0.6577552702861854
0.4799999999999998,0.7156183745583039,0.39456022606852703,0.789399293286219,0.5261422515308526,0.6577552702861854
0.4899999999999998,0.7156183745583039,0.39456022606852703,0.789399293286219,0.5261422515308526,0.6577552702861854
0.4999999999999998,0.7156183745583039,0.39456022606852703,0.789399293286219,0.5261422515308526,0.6577552702861854
0.5099999999999998,0.7156183745583039,0.39456022606852703,0.789399293286219,0.5261422515308526,0.6577552702861854
0.5199999999999998,0.7232508833922261,0.40046437736771356,0.7719670200235571,0.5273575796588349,0.6511544728371021
0.5299999999999998,0.7267373380447585,0.403235843186061,0.7632508833922261,0.5276872964169381,0.6476114331401159
0.5399999999999998,0.7297997644287397,0.4059343434343434,0.7573616018845701,0.5285655569256063,0.6455823293172691
0.22999999999999993,0.49498233215547704,0.278226911482598,0.9566548881036514,0.4310811528050528,0.643051684823917
0.23999999999999994,0.49498233215547704,0.278226911482598,0.9566548881036514,0.4310811528050528,0.643051684823917
0.19999999999999996,0.47354534746760896,0.2708512467755804,0.9646643109540636,0.4229498037595538,0.637870338639833
0.20999999999999996,0.47354534746760896,0.2708512467755804,0.9646643109540636,0.4229498037595538,0.637870338639833
0.21999999999999995,0.47354534746760896,0.2708512467755804,0.9646643109540636,0.4229498037595538,0.637870338639833
0.16999999999999998,0.456301531213192,0.2655094824815172,0.9729093050647821,0.4171717171717172,0.6347010911326264
0.17999999999999997,0.45719670200235574,0.2656833698312508,0.9717314487632509,0.41727783116686057,0.6344982464775734
0.18999999999999995,0.45719670200235574,0.2656833698312508,0.9717314487632509,0.41727783116686057,0.6344982464775734
0.12,0.45248527679623085,0.2642848012271507,0.9740871613663133,0.41576592428736614,0.6336970514313738
0.13,0.45248527679623085,0.2642848012271507,0.9740871613663133,0.41576592428736614,0.6336970514313738
0.13999999999999999,0.45248527679623085,0.2642848012271507,0.9740871613663133,0.41576592428736614,0.6336970514313738
0.14999999999999997,0.45248527679623085,0.2642848012271507,0.9740871613663133,0.41576592428736614,0.6336970514313738
0.15999999999999998,0.45248527679623085,0.2642848012271507,0.9740871613663133,0.41576592428736614,0.6336970514313738
0.5499999999999998,0.7455830388692579,0.42092290839381075,0.7241460541813899,0.5323865604433669,0.6329530947576494
0.5599999999999998,0.7467137809187279,0.42207523770152955,0.7215547703180212,0.532603025560772,0.6318851342987993
0.5699999999999997,0.7492108362779741,0.4246575342465753,0.7156654888103652,0.5330292130888674,0.6294025026932958
0.1,0.42633686690223793,0.255683568480069,0.9776207302709069,0.40535260793123656,0.6247929902743067
0.11,0.42633686690223793,0.255683568480069,0.9776207302709069,0.40535260793123656,0.6247929902743067
0.6099999999999998,0.7674911660777385,0.44589084065244666,0.6697290930506479,0.535354486394878,0.6086230518924474
0.6199999999999998,0.7674911660777385,0.44589084065244666,0.6697290930506479,0.535354486394878,0.6086230518924474
0.6299999999999998,0.7674911660777385,0.44589084065244666,0.6697290930506479,0.535354486394878,0.6086230518924474
0.6399999999999997,0.7674911660777385,0.44589084065244666,0.6697290930506479,0.535354486394878,0.6086230518924474
0.5799999999999997,0.7671142520612485,0.44533208020050125,0.6697290930506479,0.5349515476526484,0.6084146550248245
0.5899999999999997,0.7671142520612485,0.44533208020050125,0.6697290930506479,0.5349515476526484,0.6084146550248245
0.5999999999999998,0.7671142520612485,0.44533208020050125,0.6697290930506479,0.5349515476526484,0.6084146550248245
0.6499999999999997,0.773286219081272,0.45314823996033715,0.6459363957597173,0.5326340326340326,0.5952846163866093
0.6599999999999997,0.7775265017667845,0.45888639889674193,0.6270906949352179,0.5299621739996019,0.5842588121680348
