split,accuracy,precision,recall,f1,f2
train,0.656678445229682,0.3547666335650447,0.875241460541814,0.504885241000693,0.6766887166336403
test,0.6193528891191262,0.1613925593641816,0.8836091831286705,0.27293341579055863,0.4662891274335785
