K,Train_Accuracy,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,CV_Std_Recall
3,0.8620080131982089,0.7528046193730851,0.5066926818926348,0.42347395710582136,0.4613500996184,0.7203611973357031,0.006733093126813692
5,0.8341857176526043,0.7637402781051142,0.5354441116512596,0.4146594390761254,0.46736196736622804,0.7548958901350543,0.007884057328137663
7,0.8217888286589677,0.7705161442375678,0.5556305786699145,0.40942729201037,0.471421363141762,0.7729332403638962,0.009915924917206916
9,0.8164977610181475,0.7749234032524157,0.5699311584861502,0.40608060334668866,0.4742291532757655,0.784128729157674,0.008365891750788997
11,0.8120315814282347,0.7777398067405137,0.5799786713592854,0.4021682771623851,0.47496240740187323,0.7914616111230196,0.007464248585177502
13,0.8092033938251237,0.780214470893236,0.589331471172592,0.3985387697383927,0.4755030627539659,0.796264212430535,0.006964402003013258
15,0.806929059627622,0.7818288946500118,0.5958111164843194,0.3958048550553853,0.47561103827998286,0.8003207104900213,0.00798069129844357
