cluster,feature,mean,global_mean,delta,abs_delta
0,Alcohol_Consumption,2.4645801614087346,-6.478427813466693e-17,2.4645801614087346,2.4645801614087346
0,Height_(cm),0.271474903324975,-5.668624336783357e-16,0.27147490332497554,0.27147490332497554
0,BMI,-0.26036300785104377,4.468642821334412e-16,-0.2603630078510442,0.2603630078510442
0,Age_Category,1.3082243939586242,1.1110686602731388,0.19715573368548545,0.19715573368548545
0,General_Health,2.719697931209544,2.5304480434120977,0.18924988779744645,0.18924988779744645
0,Sex,0.6356136565554005,0.4813212715393034,0.1542923850160971,0.1542923850160971
0,Smoking_History,0.5525130092651351,0.40557674499925533,0.1469362642658798,0.1469362642658798
0,Fruit_Consumption,-0.12232057329320749,4.601156117518958e-17,-0.12232057329320753,0.12232057329320753
0,Diabetes,0.07059906079451707,0.13863184546743768,-0.06803278467292061,0.06803278467292061
0,FriedPotato_Consumption,-0.05882864732816375,5.52138734102275e-17,-0.058828647328163806,0.058828647328163806
0,Exercise,0.8337352455895418,0.7750620034061401,0.05867324218340175,0.05867324218340175
0,Skin_Cancer,0.15039979692854424,0.09711384667189028,0.05328595025665396,0.05328595025665396
0,Checkup,3.659220713288488,3.617981311558212,0.04123940173027618,0.04123940173027618
0,Green_Vegetables_Consumption,0.03359665549355819,-1.9140809448878867e-17,0.03359665549355821,0.03359665549355821
0,Depression,0.17543469983500445,0.20042155840623724,-0.024986858571232784,0.024986858571232784
0,Arthritis,0.3506472902652621,0.32724523561294333,0.02340205465231876,0.02340205465231876
0,Other_Cancer,0.10965858611498921,0.09673826468169426,0.012920321433294954,0.012920321433294954
0,Heart_Disease,0.07612006599822313,0.08085049894124732,-0.004730432943024193,0.004730432943024193
1,Checkup,1.4178010029921193,3.617981311558212,-2.2001803085660927,2.2001803085660927
1,Age_Category,0.596358885751612,1.1110686602731388,-0.5147097745215268,0.5147097745215268
1,Height_(cm),0.3888977942916374,-5.668624336783357e-16,0.38889779429163795,0.38889779429163795
1,Green_Vegetables_Consumption,-0.28892215192871873,-1.9140809448878867e-17,-0.28892215192871873,0.28892215192871873
1,Fruit_Consumption,-0.2742846475795482,4.601156117518958e-17,-0.27428464757954824,0.27428464757954824
1,General_Health,2.797463019933415,2.5304480434120977,0.2670149765213172,0.2670149765213172
1,BMI,-0.2225843203846866,4.468642821334412e-16,-0.22258432038468703,0.22258432038468703
1,Arthritis,0.11517552362088583,0.32724523561294333,-0.21206971199205749,0.21206971199205749
1,Sex,0.6886931602680265,0.4813212715393034,0.20737188872872314,0.20737188872872314
1,Diabetes,0.02305196173458637,0.13863184546743768,-0.1155798837328513,0.1155798837328513
1,Alcohol_Consumption,-0.09371174164738696,-6.478427813466693e-17,-0.0937117416473869,0.0937117416473869
1,FriedPotato_Consumption,0.08866343337970864,5.52138734102275e-17,0.08866343337970858,0.08866343337970858
1,Other_Cancer,0.024526950145391715,0.09673826468169426,-0.07221131453630254,0.07221131453630254
1,Skin_Cancer,0.029584053268152895,0.09711384667189028,-0.06752979340373738,0.06752979340373738
1,Heart_Disease,0.02035484006911374,0.08085049894124732,-0.06049565887213358,0.06049565887213358
1,Depression,0.14741455602848835,0.20042155840623724,-0.053007002377748885,0.053007002377748885
1,Exercise,0.811285768468962,0.7750620034061401,0.03622376506282199,0.03622376506282199
