threshold,accuracy,precision,recall,f1,f2
0.3799999999999999,0.6569611307420494,0.35627722022344255,0.8864546525323911,0.5082731140676707,0.6831384794132598
0.40999999999999986,0.6774087161366313,0.3693775100401606,0.8666666666666667,0.5179866244280183,0.6828136599851522
0.38999999999999985,0.6630859835100118,0.35999229138562344,0.8800942285041224,0.5109758599466594,0.6827984501791067
0.3699999999999999,0.6511189634864547,0.35258443739503637,0.8902237926972909,0.5051126111073982,0.6821792187161528
0.3599999999999999,0.6440518256772674,0.34847097601171945,0.8965842167255594,0.5018790795806686,0.6820299620098917
0.39999999999999986,0.6699175500588929,0.36421756663715943,0.8723203769140165,0.5138773244518456,0.682027480016208
0.4199999999999998,0.6832508833922262,0.3731832139201638,0.8588928150765607,0.5202996789154477,0.6814953271028037
0.34999999999999987,0.6350530035335689,0.3431873152378393,0.9024734982332155,0.49727414330218067,0.6806310627864833
0.4299999999999998,0.6899882214369847,0.37773588857471985,0.8497055359246172,0.5229810062345948,0.6798220814957217
0.43999999999999984,0.6957832744405182,0.3817870884993587,0.8414605418138987,0.5252554959194177,0.6781591737545565
0.33999999999999986,0.6233686690223793,0.3364738724592166,0.9085983510011778,0.4910873440285205,0.6780227120908484
0.44999999999999984,0.7009658421672555,0.38548703421224667,0.8334511189634864,0.527154883409074,0.6762749445676275
0.3299999999999999,0.6117314487632509,0.3301309301139262,0.9147232037691402,0.48516274130068093,0.6754923109039037
0.45999999999999985,0.7057243816254417,0.38899367580161986,0.8259128386336867,0.528888218434153,0.6744123417843265
0.3199999999999999,0.5997644287396937,0.32385610079575594,0.92037691401649,0.47912195720154516,0.6726001928109075
0.4699999999999998,0.7104358068315666,0.39241652518392756,0.8167255594817432,0.5301223241590214,0.6715088127057912
0.3099999999999999,0.5901531213191991,0.3190901705930138,0.9253239104829211,0.4745394140742978,0.6705360191191533
0.29999999999999993,0.5804475853945819,0.3148442466624285,0.9333333333333333,0.47085388317784777,0.6700717088350697
0.4799999999999998,0.7149587750294464,0.39606126914660833,0.8101295641931684,0.5320235148514851,0.670030783618439
0.2899999999999999,0.5720141342756184,0.31096179389014766,0.9375736160188457,0.4670265195963389,0.6682561536653346
0.4899999999999998,0.7182096584216725,0.3985270049099836,0.8030624263839812,0.532697867020861,0.6675413174590742
0.2799999999999999,0.5645700824499411,0.3075856757797459,0.9408716136631331,0.46360998258850844,0.6664441848823628
0.4999999999999998,0.7222143698468787,0.40183137114995837,0.7959952885747938,0.5340603761656393,0.6654456654456654
0.2699999999999999,0.5562308598351001,0.30395574416489846,0.9448763250883392,0.4599506909007511,0.6646010074231177
0.5099999999999998,0.7262661955241461,0.4051859929722525,0.7877502944640754,0.5351256200992158,0.6626243411405699
0.2599999999999999,0.545394581861013,0.2990480440279637,0.9472320376914016,0.45458142558363007,0.6607835403930848
0.24999999999999994,0.5358775029446408,0.29504241006142146,0.950530035335689,0.45030969253947883,0.6581093423799582
0.5199999999999998,0.7301295641931684,0.4080823106483203,0.7755005889281508,0.5347628330084471,0.6571645306823173
0.23999999999999994,0.5247114252061249,0.2904983865184654,0.954299175500589,0.44540956569543705,0.6549717057396928
0.5299999999999998,0.7355005889281507,0.41310143455630316,0.7665488810365135,0.5368751031182973,0.6545439916321358
0.22999999999999993,0.5133097762073027,0.285935411243228,0.9573616018845701,0.44035106728789686,0.651428205046004
0.21999999999999995,0.5037926972909305,0.2822608575188751,0.9599528857479388,0.4362487956321593,0.6485342330585352
0.5399999999999998,0.7395053003533569,0.4163408913213448,0.7526501766784452,0.5361188019129122,0.6479678753954734
0.20999999999999996,0.4910718492343934,0.2776835966637282,0.9646643109540636,0.4312342038753159,0.645349386957481
0.19999999999999996,0.4764664310954064,0.27281148679944417,0.9712603062426384,0.4259737576195888,0.6423519147477643
0.5499999999999998,0.7453945818610129,0.4217209239497501,0.7354534746760896,0.5360576923076923,0.6402001394414141
0.18999999999999995,0.4641696113074205,0.26845114345114346,0.9733804475853945,0.4208382135764119,0.6382058569133819
0.17999999999999997,0.4530506478209658,0.2649687220732797,0.9778563015312132,0.4169554517603335,0.6357593579611591
0.5599999999999998,0.7506713780918728,0.4268956849602011,0.7201413427561838,0.5360336664913203,0.6331552131229029
0.16999999999999998,0.43618374558303885,0.25922923422299826,0.9792697290930507,0.40994033824762094,0.629543251756724
0.5699999999999997,0.7548174322732627,0.4308779011099899,0.7041224970553592,0.5346091933464496,0.6248693398001421
0.15999999999999998,0.4194110718492344,0.2540793960058451,0.9830388692579505,0.40379312013159807,0.6246257933181655
0.5799999999999997,0.7614134275618375,0.438871473354232,0.6925795053003534,0.5372807017543859,0.6208032433802103
0.14999999999999997,0.4006595995288575,0.2483671772948581,0.9853945818610129,0.3967373263147911,0.6183844834722961
