split,accuracy,precision,recall,f1,f2
train,0.6611637220259129,0.3598417107416004,0.8911189634864547,0.5126648325585808,0.6879719486112525
test,0.6220509831854778,0.16373497508062151,0.894554191137213,0.27680489013712206,0.47263751763046546
