,accuracy,precision,recall,f1,roc_auc
Fold_1,0.8304384260846379,0.23107109879963064,0.47183596511901954,0.3102192608661966,0.789039651345875
Fold_2,0.8320731358918199,0.23760899495181276,0.48809804383690786,0.3196234277336214,0.7906709896868311
Fold_3,0.8331016093705361,0.24040891339306225,0.49328305444261134,0.32326820603907636,0.7924094213420846
Fold_4,0.8326254642415009,0.23906303823630726,0.4906905491397596,0.3214947498455837,0.7950892343819798
Fold_5,0.8308732501666508,0.2322439080725257,0.4739571058213528,0.3117346147884049,0.7920358930733498
Mean,0.8318223771510291,0.2360791906906677,0.4835729436719303,0.3172680518545766,0.7918490379660239
Std,0.0010159159885571782,0.0037357870143454592,0.008895438082497518,0.005286189588724357,0.0020064031550440257
