,General_Health,Checkup,Exercise,Skin_Cancer,Other_Cancer,Depression,Diabetes,Arthritis,Sex,Age_Category,Height_(cm),BMI,Smoking_History,Alcohol_Consumption,Fruit_Consumption,Green_Vegetables_Consumption,FriedPotato_Consumption
Sem Doença,2.6025087957034696,3.5965911210015293,0.7869927189394599,0.0894074451641243,0.08872782425997985,0.19635242487909793,0.12115900228336048,0.3057175180576103,0.47052558731263805,1.0630597030388171,0.5304327610428684,0.18922916402356146,0.3892155765796006,0.17266832704128648,0.24998404548466802,0.1187571160763496,0.0493374602691133
Com Doença,1.7183125147301437,3.85477256658025,0.6401131275041244,0.18831015790714117,0.18746170162620787,0.2452510016497761,0.3407494697148244,0.5714353052085789,0.6023096865425407,1.6558567051614423,0.5341277398067459,0.20085255392990595,0.5835493754419043,0.1355786000471346,0.23412601146986978,0.10873239747819939,0.04688862538298374
