,accuracy,precision,recall,f1,roc_auc
Fold_1,0.7477020975724723,0.4963801744941526,0.6302144708932359,0.5553478712357217,0.7925459552249547
Fold_2,0.75159085552675,0.5024702653247941,0.6471835965119019,0.5657189946435929,0.797304019632082
Fold_3,0.7420457223662503,0.4877739539938417,0.6346924345981617,0.5516181892666939,0.7895005451576564
Fold_4,0.7374499175111949,0.4806398836575168,0.6231440018854584,0.5426929392446633,0.7859620889772616
Fold_5,0.7430473721423521,0.48903345724907066,0.6200801319820881,0.5468149225813156,0.794338651562114
Mean,0.7443671930238039,0.49125954694387525,0.6310629271741692,0.5524385833943976,0.7919302521108138
Std,0.004863799790195658,0.007507104834531079,0.00956138431459976,0.007900752698952719,0.00391354833064153
