K,Train_Accuracy,CV_Accuracy,CV_Std
1,0.99992762621607,0.8726488025894025,0.001155727408885613
2,0.9359987201267684,0.9126296045077582,0.0004856698286125187
3,0.9363148792881467,0.9023830008691185,0.0003597993173223605
4,0.9271272178755628,0.9146294083184812,0.00019659877908171066
5,0.9270967447033818,0.910138425017832,0.00042032344388917347
6,0.9241446561483434,0.9163816162993701,0.00033332103365992357
7,0.924220839078796,0.9138294887819841,0.00028426315953034
8,0.9227428902280155,0.9170520279155803,0.00042166722634417173
9,0.9228647829167397,0.9157416811634931,0.00046032140715952644
10,0.9217944127438806,0.9178671836609235,0.0002983529368466432
11,0.9218439316486748,0.9168272867617511,0.0003056245712947106
12,0.921234468205054,0.9182328618141737,0.00023238641770261017
13,0.9214287346777081,0.917341521469789,0.00030824606070053377
14,0.9208802175784494,0.918389036255743,0.00023183696621721954
15,0.9210516291719677,0.9178100450121376,0.00035409382397703275
16,0.9207049968384083,0.9185490192054198,0.00028156446537846254
17,0.9207354700105894,0.9181223945482001,0.000395871326070746
18,0.92053358524489,0.9187280495562957,0.0002173768120340704
19,0.9205412035379353,0.9184347449548286,0.00022510222151871865
20,0.9203736010909396,0.9188194689132402,0.0002430234117633813
21,0.9204345474353016,0.9186823401317383,0.00023894365466809998
22,0.9203317004791907,0.9188956523515275,0.00021764708137830756
23,0.9203926468235527,0.9187318595878938,0.00030928644984323464
24,0.9201412431530591,0.9189756448057524,0.00021576494835124415
25,0.9203050364535322,0.9187966154705369,0.00030459700693329556
26,0.920110769980878,0.9188918438434197,0.0002706266360385259
27,0.9202098077904665,0.9188308974845445,0.0003545943798856654
28,0.9200536327830386,0.9190251644070024,0.0001823906308041442
29,0.9201260065669686,0.9188499438700832,0.0003213806972912599
30,0.9199431675338824,0.9190975380313328,0.00020344272188011503
