k,silhouette
2,0.11804718789342049
3,0.11038552950318926
4,0.07916125937001028
5,0.0810010496387721
6,0.09023715216832898
7,0.08785391266558523
8,0.058545505969845105
9,0.061675959178429114
10,0.06114008448386492
