cluster,n_samples,percentage,General_Health_mean,General_Health_std,General_Health_min,General_Health_max,Checkup_mean,Checkup_std,Checkup_min,Checkup_max,Exercise_mean,Exercise_std,Exercise_min,Exercise_max,Heart_Disease_mean,Heart_Disease_std,Heart_Disease_min,Heart_Disease_max,Skin_Cancer_mean,Skin_Cancer_std,Skin_Cancer_min,Skin_Cancer_max,Other_Cancer_mean,Other_Cancer_std,Other_Cancer_min,Other_Cancer_max,Depression_mean,Depression_std,Depression_min,Depression_max,Diabetes_mean,Diabetes_std,Diabetes_min,Diabetes_max,Arthritis_mean,Arthritis_std,Arthritis_min,Arthritis_max,Sex_mean,Sex_std,Sex_min,Sex_max,Age_Category_mean,Age_Category_std,Age_Category_min,Age_Category_max,Height_(cm)_mean,Height_(cm)_std,Height_(cm)_min,Height_(cm)_max,BMI_mean,BMI_std,BMI_min,BMI_max,Smoking_History_mean,Smoking_History_std,Smoking_History_min,Smoking_History_max,Alcohol_Consumption_mean,Alcohol_Consumption_std,Alcohol_Consumption_min,Alcohol_Consumption_max,Fruit_Consumption_mean,Fruit_Consumption_std,Fruit_Consumption_min,Fruit_Consumption_max,Green_Vegetables_Consumption_mean,Green_Vegetables_Consumption_std,Green_Vegetables_Consumption_min,Green_Vegetables_Consumption_max,FriedPotato_Consumption_mean,FriedPotato_Consumption_std,FriedPotato_Consumption_min,FriedPotato_Consumption_max
0,4601,30.673333333333336,3.05607476635514,0.7482636001292207,1.0,4.0,3.8263420995435773,0.44287777721529015,1.0,4.0,0.8263420995435775,0.37885621269682546,0.0,1.0,0.055422734188219955,0.2288283972486635,0.0,1.0,0.09954357748315583,0.299423010904783,0.0,1.0,0.07433166702890676,0.2623383849800441,0.0,1.0,0.12193001521408389,0.3272405249782207,0.0,1.0,0.11041078026515974,0.3134351481446462,0.0,1.0,0.2547272332101717,0.4357551373335016,0.0,1.0,0.5361877852640731,0.49874292710546214,0.0,1.0,1.1367094109976092,0.7693884896013061,0.0,2.0,0.10637249494001909,1.002067186416055,-3.3416418867616247,5.47801681138289,-0.3170983359745669,0.6719900931714379,-2.5245969814060687,2.680612032080649,0.341664855466203,0.47431938588638434,0.0,1.0,-0.331390363993028,0.421287680376146,-0.6215270451930928,3.037121420551922,-0.41305799828747525,0.44642004781267125,-1.1993715288924844,1.2126213736678388,-0.14581816171350995,0.6644487167262817,-1.0123424646664303,1.6675065113784615,-0.1612234028435056,0.5352968905503273,-0.7336199076125894,2.7616857707309186
1,3705,24.7,1.6642375168690957,0.8623251178049309,0.0,4.0,3.854790823211876,0.43962649290448363,0.0,4.0,0.6094466936572199,0.4879402441799488,0.0,1.0,0.1446693657219973,0.35181464936655477,0.0,1.0,0.08906882591093117,0.2848815104799449,0.0,1.0,0.13225371120107962,0.3388121168377186,0.0,1.0,0.3219973009446694,0.4673050176002336,0.0,1.0,0.26342780026990553,0.44055190295189844,0.0,1.0,0.4882591093117409,0.49992960391454794,0.0,1.0,0.398110661268556,0.48957456479012307,0.0,1.0,1.168421052631579,0.7091855790396404,0.0,2.0,-0.19493292286768357,0.9808116584163622,-6.437905046748529,3.3200152150283806,0.6728647608709634,1.1902956946783019,-2.107566980914644,8.138798803218414,0.4761133603238866,0.4994965155067841,0.0,1.0,-0.41744588920911524,0.3865333352862194,-0.6215270451930928,3.037121420551922,-0.4762944663084761,0.5334701272230946,-1.1993715288924844,2.4186178249480004,-0.3459786683355916,0.5915986875617,-1.0123424646664303,3.0074309994009076,-0.11477941778693145,0.566095700990198,-0.7336199076125894,2.7616857707309186
2,557,3.713333333333333,2.276481149012567,1.1005409911108373,0.0,4.0,3.703770197486535,0.6377259545753095,0.0,4.0,0.6876122082585279,0.46388359879606145,0.0,1.0,0.08976660682226212,0.28610403871532647,0.0,1.0,0.06822262118491922,0.2523541689960041,0.0,1.0,0.07719928186714542,0.26714730288425576,0.0,1.0,0.2746858168761221,0.4467570397321969,0.0,1.0,0.15439856373429084,0.36165517659854307,0.0,1.0,0.3052064631956912,0.4609087466775905,0.0,1.0,0.5888689407540395,0.49248121505400616,0.0,1.0,0.9497307001795332,0.7849671894405841,0.0,2.0,0.09657297415414132,1.0248490723461168,-3.623120355851344,3.3200152150283806,0.024399252456239185,0.9707846387359359,-1.894452385075276,3.775315783370639,0.4703770197486535,0.49957035646012066,0.0,1.0,-0.1989542421477379,0.7495101978568633,-0.6215270451930928,3.037121420551922,0.024667957266195452,1.1148574105742108,-1.1993715288924844,3.6246142762281623,0.06609227138466935,1.2163261670863525,-1.0123424646664303,7.027204463468246,3.4887762876622195,2.467054447339704,0.6645023637248136,13.247602805761442
3,2079,13.86,2.7465127465127464,0.8946994530919047,0.0,4.0,3.6623376623376624,0.7525897025124232,0.0,4.0,0.8436748436748437,0.3632506990404565,0.0,1.0,0.05772005772005772,0.23326942816877494,0.0,1.0,0.14766714766714767,0.3548550827760333,0.0,1.0,0.10004810004810005,0.3001363142264166,0.0,1.0,0.1645021645021645,0.3708198261617355,0.0,1.0,0.05772005772005772,0.23326942816877494,0.0,1.0,0.30832130832130833,0.4619111454986985,0.0,1.0,0.62000962000962,0.48550084267933896,0.0,1.0,1.215007215007215,0.7416171800970489,0.0,2.0,0.2195549253917503,0.9373735421482359,-2.6848587922189484,3.038536745938662,-0.26403697248216307,0.7237209650246771,-2.244021650193088,4.029826739552905,0.5146705146705147,0.49990497138464857,0.0,1.0,2.0173105567235257,0.9162366226392306,-0.6215270451930928,3.037121420551922,-0.067703286025357,0.922850573730514,-1.1993715288924844,3.6246142762281623,0.01406289531440001,0.6806464987621814,-1.0123424646664303,3.0074309994009076,-0.059497220346370845,0.6938824901148418,-0.7336199076125894,3.926787663512088
4,2297,15.313333333333334,2.586852416195037,1.03781358196445,0.0,4.0,3.868959512407488,0.36836866879187397,1.0,4.0,0.8380496299521114,0.3684854953096052,0.0,1.0,0.0827165868524162,0.2755133381890115,0.0,1.0,0.10361340879407924,0.3048247402346967,0.0,1.0,0.11144971702220287,0.31475674505086576,0.0,1.0,0.20809751850239444,0.40603536203719465,0.0,1.0,0.1393121462777536,0.34634736218469914,0.0,1.0,0.35524597300827165,0.4786919996185463,0.0,1.0,0.347845015237266,0.4763902416931012,0.0,1.0,1.173269481932956,0.7475391527714491,0.0,2.0,-0.1669519874549908,0.9827062662505448,-4.749034232210217,3.7891459968445784,-0.09716658103222356,0.943401609940995,-2.0263074587600647,4.796426005162142,0.3064867218110579,0.46113467267561625,0.0,1.0,-0.37597126005202913,0.39045116924409173,-0.6215270451930928,1.8175719319702508,1.5327328392078972,0.7765490529992723,-1.1993715288924844,3.6246142762281623,0.09415982749960217,0.7169231796786133,-1.0123424646664303,3.0074309994009076,-0.28883198868363547,0.4585113663700177,-0.7336199076125894,2.7616857707309186
5,530,3.5333333333333337,2.8471698113207546,1.0349476984830814,0.0,4.0,3.6490566037735848,0.8049052455145729,0.0,4.0,0.8886792452830189,0.3148260703593005,0.0,1.0,0.04905660377358491,0.216190283676047,0.0,1.0,0.10377358490566038,0.3052547135306543,0.0,1.0,0.07735849056603773,0.26741181217501026,0.0,1.0,0.2,0.4003778933294379,0.0,1.0,0.11320754716981132,0.31714566781231573,0.0,1.0,0.25471698113207547,0.4361136312167096,0.0,1.0,0.3264150943396226,0.46934412806253095,0.0,1.0,1.0716981132075472,0.7239822028566337,0.0,2.0,-0.18501133183157997,0.9398352630190879,-2.40338032312923,2.5694059641224647,-0.2227568484216787,0.8805509909256779,-2.188826503069223,3.2647606724748877,0.31886792452830187,0.4664780172281658,0.0,1.0,0.028285738911556495,1.0271437366541227,-0.6215270451930928,3.037121420551922,0.7761871862045652,1.190948700235873,-1.1993715288924844,3.6246142762281623,3.5287374700239797,1.10514737945533,1.6675065113784615,7.027204463468246,-0.25394965666004016,0.660728888825271,-0.7336199076125894,3.926787663512088
6,1231,8.206666666666667,2.7733549959382615,0.8925008455129219,0.0,4.0,1.579203899268887,0.7576319653873199,0.0,3.0,0.8082859463850528,0.39380929244825535,0.0,1.0,0.03249390739236393,0.1773798544585264,0.0,1.0,0.03168155970755483,0.17522208711846432,0.0,1.0,0.03574329813160033,0.18572489245277046,0.0,1.0,0.12022745735174654,0.3253595088662825,0.0,1.0,0.030869212022745736,0.17303359780698369,0.0,1.0,0.12266450040617384,0.32818503163731705,0.0,1.0,0.6035743298131601,0.4893535414976356,0.0,1.0,0.7083671811535337,0.7090035478910156,0.0,2.0,0.2072124320269983,1.0111643480047499,-2.2157280104027506,3.038536745938662,-0.1919282051828117,0.8024832682887417,-2.1934260986628784,3.0961088340408556,0.4272948822095857,0.4948867752232425,0.0,1.0,-0.21207147766197582,0.5816696300077379,-0.6215270451930928,2.061481829686585,-0.1144972232337179,0.9486555743019726,-1.1993715288924844,3.6246142762281623,-0.21807528439837284,0.6573325033757379,-1.0123424646664303,1.6675065113784615,0.026488402779414635,0.7556351535924531,-0.7336199076125894,2.7616857707309186
