partition,n_clusters,silhouette,calinski_harabasz,davies_bouldin
corte_sugerido_dendrograma,7,0.08785391266558523,1144.8146138783131,2.0797875866988966
best_k_silhouette,2,0.11804718789342049,1159.033849637464,2.273315025377603
