column,version,min,max,mean,std,median
Height_(cm),minmax,0.0,1.0,0.530768324192013,0.07105350701428456,0.5266666666666666
Height_(cm),zscore,-7.469992766744164,6.603930687741764,-5.668624336783357e-16,1.00000161889182,-0.0577264140482418
Weight_(kg),minmax,0.0,1.0,0.218743815206012,0.07961804664095044,0.2115119185287425
Weight_(kg),zscore,-2.7474194426678773,9.812567408070592,-4.626922591777065e-16,1.0000016188918197,-0.0908325271724045
BMI,minmax,0.0,1.0,0.19019826525721806,0.07470304770008789,0.1766120719276142
BMI,zscore,-2.5460617608431275,10.840294615225364,4.468642821334412e-16,1.00000161889182,-0.1818696257042409
Alcohol_Consumption,minmax,0.0,1.0,0.16987886401557584,0.2733254173650675,0.0333333333333333
Alcohol_Consumption,zscore,-0.6215270451930928,3.037121420551922,-6.478427813466693e-17,1.00000161889182,-0.4995720963349255
Fruit_Consumption,minmax,0.0,1.0,0.24862667042248654,0.20729779466397294,0.25
Fruit_Consumption,zscore,-1.1993715288924844,3.6246142762281623,4.601156117518958e-17,1.00000161889182,0.0066249223876771
Green_Vegetables_Consumption,minmax,0.0,1.0,0.11805031665447105,0.11661123768433539,0.09375
Green_Vegetables_Consumption,zscore,-1.0123424646664303,7.563174258677225,-1.9140809448878867e-17,1.00000161889182,-0.2083877718529628
FriedPotato_Consumption,minmax,0.0,1.0,0.049192311537166425,0.06705432971998182,0.03125
FriedPotato_Consumption,zscore,-0.7336199076125894,14.179684319986375,5.52138734102275e-17,1.00000161889182,-0.2675791505001217
