column,version,min,max,mean,std,median
Height_(cm),numeric,91.0,241.0,170.61524862880196,10.658026052142686,170.0
Height_(cm),minmax,0.0,1.0,0.530768324192013,0.07105350701428456,0.5266666666666666
Height_(cm),decimal_scaling,0.091,0.241,0.17061524862880198,0.010658026052142684,0.17
Weight_(kg),numeric,24.95,293.02,83.58865454227565,21.343209763039585,81.65
Weight_(kg),minmax,0.0,1.0,0.218743815206012,0.07961804664095044,0.2115119185287425
Weight_(kg),decimal_scaling,0.02495,0.29302,0.08358865454227563,0.02134320976303958,0.08165
BMI,numeric,12.02,99.33,28.62621053960771,6.522323094694673,27.44
BMI,minmax,0.0,1.0,0.19019826525721806,0.07470304770008789,0.1766120719276142
BMI,decimal_scaling,0.1202,0.9933,0.2862621053960771,0.06522323094694672,0.2744
Alcohol_Consumption,numeric,0.0,30.0,5.096365920467276,8.199762520952024,1.0
Alcohol_Consumption,minmax,0.0,1.0,0.16987886401557584,0.2733254173650675,0.0333333333333333
Alcohol_Consumption,decimal_scaling,0.0,0.3,0.050963659204672766,0.08199762520952024,0.01
Fruit_Consumption,numeric,0.0,120.0,29.835200450698387,24.875735359676753,30.0
Fruit_Consumption,minmax,0.0,1.0,0.24862667042248654,0.20729779466397294,0.25
Fruit_Consumption,decimal_scaling,0.0,0.12,0.02983520045069839,0.024875735359676753,0.03
Green_Vegetables_Consumption,numeric,0.0,128.0,15.110440531772294,14.92623842359493,12.0
Green_Vegetables_Consumption,minmax,0.0,1.0,0.11805031665447105,0.11661123768433539,0.09375
Green_Vegetables_Consumption,decimal_scaling,0.0,0.128,0.015110440531772294,0.01492623842359493,0.012
FriedPotato_Consumption,numeric,0.0,128.0,6.296615876757302,8.582954204157673,4.0
FriedPotato_Consumption,minmax,0.0,1.0,0.049192311537166425,0.06705432971998182,0.03125
FriedPotato_Consumption,decimal_scaling,0.0,0.128,0.006296615876757303,0.008582954204157674,0.004
