cluster,feature,mean,global_mean,delta,abs_delta
0,Alcohol_Consumption,2.391823742182371,-6.478427813466693e-17,2.391823742182371,2.391823742182371
0,Height_(cm),0.2836283936958975,-5.668624336783357e-16,0.28362839369589804,0.28362839369589804
0,BMI,-0.2552399475013632,4.468642821334412e-16,-0.25523994750136364,0.25523994750136364
0,General_Health,2.7272650176678446,2.5304480434120977,0.19681697425574685,0.19681697425574685
0,Sex,0.6378233215547703,0.4813212715393034,0.1565020500154669,0.1565020500154669
0,Age_Category,1.2631236749116608,1.1110686602731388,0.152055014638522,0.152055014638522
0,Smoking_History,0.5476749116607774,0.40557674499925533,0.14209816666152209,0.14209816666152209
0,Fruit_Consumption,-0.11671797403210842,4.601156117518958e-17,-0.11671797403210846,0.11671797403210846
0,Diabetes,0.06959717314487633,0.13863184546743768,-0.06903467232256134,0.06903467232256134
0,Green_Vegetables_Consumption,0.06343413919708611,-1.9140809448878867e-17,0.06343413919708613,0.06343413919708613
0,Exercise,0.8359293286219082,0.7750620034061401,0.0608673252157681,0.0608673252157681
0,Checkup,3.567547703180212,3.617981311558212,-0.05043360837799993,0.05043360837799993
0,Skin_Cancer,0.1427279151943463,0.09711384667189028,0.04561406852245602,0.04561406852245602
0,Depression,0.17450176678445228,0.20042155840623724,-0.025919791621784954,0.025919791621784954
0,Arthritis,0.3380918727915194,0.32724523561294333,0.01084663717857609,0.01084663717857609
0,Other_Cancer,0.10530035335689046,0.09673826468169426,0.0085620886751962,0.0085620886751962
0,Heart_Disease,0.07310247349823322,0.08085049894124732,-0.007748025443014103,0.007748025443014103
0,FriedPotato_Consumption,-7.175591756528483e-05,5.52138734102275e-17,-7.175591756534004e-05,7.175591756534004e-05
1,Fruit_Consumption,1.6593859067539571,4.601156117518958e-17,1.6593859067539571,1.6593859067539571
1,Green_Vegetables_Consumption,1.230555417859388,-1.9140809448878867e-17,1.230555417859388,1.230555417859388
1,General_Health,2.837332569300193,2.5304480434120977,0.30688452588809545,0.30688452588809545
1,BMI,-0.24169105470806532,4.468642821334412e-16,-0.24169105470806576,0.24169105470806576
1,Alcohol_Consumption,-0.21298102390897122,-6.478427813466693e-17,-0.21298102390897117,0.21298102390897117
1,FriedPotato_Consumption,-0.13428078959405468,5.52138734102275e-17,-0.13428078959405473,0.13428078959405473
1,Height_(cm),-0.11244993785602098,-5.668624336783357e-16,-0.11244993785602041,0.11244993785602041
1,Exercise,0.8870663515029964,0.7750620034061401,0.11200434809685633,0.11200434809685633
1,Sex,0.3743523625337249,0.4813212715393034,-0.10696890900557848,0.10696890900557848
1,Smoking_History,0.31053171931332524,0.40557674499925533,-0.0950450256859301,0.0950450256859301
1,Checkup,3.6926437934245397,3.617981311558212,0.07466248186632773,0.07466248186632773
1,Depression,0.1621899099873457,0.20042155840623724,-0.03823164841889154,0.03823164841889154
1,Arthritis,0.2952988085858224,0.32724523561294333,-0.031946427027120916,0.031946427027120916
1,Diabetes,0.10920898693980852,0.13863184546743768,-0.02942285852762916,0.02942285852762916
1,Age_Category,1.1325358737435236,1.1110686602731388,0.021467213470384827,0.021467213470384827
1,Heart_Disease,0.06119427930186472,0.08085049894124732,-0.019656219639382605,0.019656219639382605
1,Skin_Cancer,0.10323997803404723,0.09711384667189028,0.00612613136215695,0.00612613136215695
1,Other_Cancer,0.09251963803929995,0.09673826468169426,-0.0042186266423943075,0.0042186266423943075
2,General_Health,1.3735774443807167,2.5304480434120977,-1.156870599031381,1.156870599031381
2,BMI,0.9652707001839941,4.468642821334412e-16,0.9652707001839936,0.9652707001839936
2,Alcohol_Consumption,-0.4305967009835016,-6.478427813466693e-17,-0.43059670098350156,0.43059670098350156
2,Green_Vegetables_Consumption,-0.3094322027293197,-1.9140809448878867e-17,-0.3094322027293197,0.3094322027293197
2,Fruit_Consumption,-0.2900972159297276,4.601156117518958e-17,-0.29009721592972765,0.29009721592972765
2,Height_(cm),-0.25796695848771684,-5.668624336783357e-16,-0.2579669584877163,0.2579669584877163
2,Arthritis,0.5621245509705074,0.32724523561294333,0.23487931535756407,0.23487931535756407
2,Exercise,0.5478914480635132,0.7750620034061401,-0.22717055534262687,0.22717055534262687
2,Checkup,3.8233465149274006,3.617981311558212,0.20536520336918862,0.20536520336918862
2,Diabetes,0.3329610287680744,0.13863184546743768,0.1943291833006367,0.1943291833006367
2,Age_Category,1.3019893138527485,1.1110686602731388,0.19092065357960974,0.19092065357960974
2,Depression,0.34734506595828174,0.20042155840623724,0.1469235075520445,0.1469235075520445
2,Smoking_History,0.5044223744981435,0.40557674499925533,0.0988456294988882,0.0988456294988882
2,Heart_Disease,0.1773326893470583,0.08085049894124732,0.09648219040581096,0.09648219040581096
