k,inertia,silhouette,delta_inertia,inertia_drop_pct
2,46917.815946091185,0.12350887524151535,0.0,0.0
3,43043.71449205024,0.11331047706776526,-3874.101454040945,8.257207578656917
4,40227.03647699438,0.11957199712827524,-2816.6780150558625,6.543761495249384
5,37833.346954849025,0.11601615278776083,-2393.6895221453524,5.950449577647338
6,35720.39109584171,0.1142342012525275,-2112.955859007314,5.584903343415406
7,33874.66236030704,0.10521484311674335,-1845.7287355346707,5.167157130453524
8,32248.13623726572,0.10823845785657586,-1626.5261230413198,4.801600989379063
